language,user/repository,repository dir,DataClass,LargeClass,LongMethod,LongParameterList,TooMany,Commits,LOC,Created At,Project Lifespam
kotlin,ssseasonnn/RxDownload,RxDownload,0,1,0,0,13,456,2723,2016-10-28,578
kotlin,ReactiveX/RxKotlin,RxKotlin,0,0,0,30,5,211,1850,2014-08-19,1379
kotlin,JakeWharton/SdkSearch,SdkSearch,0,0,0,0,0,450,2488,2017-12-14,166
kotlin,Yalantis/SearchFilter,SearchFilter,0,2,1,0,3,23,1381,2016-10-27,579
kotlin,shadowsocks/shadowsocks-android,shadowsocks-android,0,1,2,1,8,2412,5354,2012-12-16,1990
kotlin,spekframework/spek,spek,0,0,0,5,11,586,3819,2012-11-05,2031
kotlin,square/sqldelight,sqldelight,0,0,0,0,2,860,11024,2015-10-21,951
kotlin,TonicArtos/SuperSLiM,SuperSLiM,0,3,0,11,7,177,4338,2014-12-18,1258
kotlin,inorichi/tachiyomi,tachiyomi,0,9,1,2,58,1417,24902,2015-10-07,965
kotlin,edvin/tornadofx,tornadofx,0,9,0,37,37,2535,21082,2016-01-06,874
kotlin,worker8/TourGuide,TourGuide,0,1,0,0,4,190,1760,2015-04-03,1152
kotlin,dev-labs-bg/transitioner,transitioner,0,0,0,0,0,33,131,2017-12-08,172
kotlin,TwidereProject/Twidere-Android,Twidere-Android,0,37,45,66,94,2888,69499,2014-07-03,1426
