github.com/AlDanial/cloc v 1.76  T=0.30 s (204.7 files/s, 15577.0 lines/s)
--------------------------------------------------------------------------------
Language                      files          blank        comment           code
--------------------------------------------------------------------------------
Java                             22            508            209           2667
XML                              30             68             22            657
Groovy                            5             30             20            165
Bourne Again Shell                1             20             21            123
DOS Batch                         1             24              2             64
Markdown                          1             31              0             58
YAML                              1              0              0             12
ProGuard                          1              2             15              0
--------------------------------------------------------------------------------
SUM:                             62            683            289           3746
--------------------------------------------------------------------------------
