github.com/AlDanial/cloc v 1.76  T=0.26 s (558.1 files/s, 53418.5 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Java                            44            940            476           7584
XML                             87            391             66           2416
Markdown                         2            323              0           1058
Groovy                           6             21              0            185
Bourne Shell                     1             21             22            129
DOS Batch                        1             23              2             59
HTML                             1              3              0             38
YAML                             1              3              6             13
Kotlin                           1              1              3              1
-------------------------------------------------------------------------------
SUM:                           144           1726            575          11483
-------------------------------------------------------------------------------
