github.com/AlDanial/cloc v 1.76  T=0.05 s (1010.3 files/s, 60425.7 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Java                            25            383            381           1589
XML                             19             45              3            265
Bourne Shell                     1             21             22            129
Markdown                         1             17              0             72
Groovy                           4             11              0             62
DOS Batch                        1             23              2             59
YAML                             1              3              0             23
-------------------------------------------------------------------------------
SUM:                            52            503            408           2199
-------------------------------------------------------------------------------
