github.com/AlDanial/cloc v 1.76  T=0.23 s (567.8 files/s, 65061.8 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Java                            73           1633           1657           9632
XML                             34             65             70            504
Groovy                           7             71             16            348
Markdown                         5            111              0            250
CSS                              3             23             26            212
HTML                             1             21              1            185
Bourne Shell                     3             35             36            163
DOS Batch                        1             23              2             59
JavaScript                       5              0             22             37
YAML                             1             10              1             28
-------------------------------------------------------------------------------
SUM:                           133           1992           1831          11418
-------------------------------------------------------------------------------
