github.com/AlDanial/cloc v 1.76  T=0.02 s (795.0 files/s, 47884.1 lines/s)
--------------------------------------------------------------------------------
Language                      files          blank        comment           code
--------------------------------------------------------------------------------
Java                              2             95             43            356
Bourne Again Shell                1             20             21            123
Markdown                          1             21              0             94
XML                               8             21              1             86
DOS Batch                         1             24              2             64
Groovy                            4             10              0             43
--------------------------------------------------------------------------------
SUM:                             17            191             67            766
--------------------------------------------------------------------------------
