github.com/AlDanial/cloc v 1.76  T=21.16 s (364.4 files/s, 55667.5 lines/s)
----------------------------------------------------------------------------------------
Language                              files          blank        comment           code
----------------------------------------------------------------------------------------
Java                                   6826         159817         316669         602324
AsciiDoc                                 40          12893            816          43937
XML                                     597           3123            563          13284
XSD                                      19            358             13           6950
Groovy                                   49            474            283           2708
SQL                                      45             48             38           2316
Kotlin                                   51            599           1749           2295
HTML                                     23            122              0           1082
CSS                                      10            274             97            962
DTD                                       2            152            524            507
AspectJ                                  13            162            644            369
Bourne Shell                              2             61             28            213
ANTLR Grammar                             1             56             13            199
Freemarker Template                       2             54            246            178
DOS Batch                                 2             40              9            158
Markdown                                  3             61              0            151
XSLT                                      8             23              1             94
JavaScript                                8             13             81             70
JSP                                       4              3              0             35
Ruby                                      1              3              1             16
Protocol Buffers                          1              2              0             10
Visualforce Component                     1              0              0              6
JSON                                      1              0              0              5
Python                                    1              1              0              4
ERB                                       1              0              0              1
Velocity Template Language                1              0              0              1
----------------------------------------------------------------------------------------
SUM:                                   7712         178339         321775         677875
----------------------------------------------------------------------------------------
