github.com/AlDanial/cloc v 1.76  T=0.52 s (560.2 files/s, 86323.9 lines/s)
--------------------------------------------------------------------------------
Language                      files          blank        comment           code
--------------------------------------------------------------------------------
Java                            174           3788          11299          22481
XML                              90            437             34           3249
Markdown                          7            306              0           2091
Groovy                           13             74             17            396
Bourne Again Shell                1             19             20            121
ProGuard                          3             48            111             86
DOS Batch                         1             24              2             64
YAML                              1              5              0             19
--------------------------------------------------------------------------------
SUM:                            290           4701          11483          28507
--------------------------------------------------------------------------------
