github.com/AlDanial/cloc v 1.76  T=1.75 s (165.0 files/s, 28788.6 lines/s)
--------------------------------------------------------------------------------
Language                      files          blank        comment           code
--------------------------------------------------------------------------------
Java                            233           5073           9007          31826
Groovy                           31            457            716           1966
XML                              13             76            145            326
Python                            2             46             45            183
Markdown                          3             46              0            134
Bourne Again Shell                1             19             20            121
DOS Batch                         1             24              2             64
ProGuard                          4             20             35             53
Bourne Shell                      1              1              2              2
--------------------------------------------------------------------------------
SUM:                            289           5762           9972          34675
--------------------------------------------------------------------------------
