github.com/AlDanial/cloc v 1.76  T=0.16 s (483.0 files/s, 72765.7 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Kotlin                          66           1836            367           8333
Markdown                         3             59              0            235
Groovy                           2             32              0            152
Bourne Shell                     1             21             22            129
DOS Batch                        1             23              2             59
YAML                             2              2              0             27
-------------------------------------------------------------------------------
SUM:                            75           1973            391           8935
-------------------------------------------------------------------------------
