github.com/AlDanial/cloc v 1.76  T=0.12 s (633.0 files/s, 35513.9 lines/s)
--------------------------------------------------------------------------------
Language                      files          blank        comment           code
--------------------------------------------------------------------------------
Kotlin                           32            322            253           1760
XML                              30            116             21            976
Groovy                            5             36             18            232
Bourne Again Shell                1             19             20            121
DOS Batch                         1             24              2             64
Markdown                          2             15              0             43
YAML                              1              4             13             26
Ruby                              1             15             10             25
ProGuard                          1              2             15              0
--------------------------------------------------------------------------------
SUM:                             74            553            352           3247
--------------------------------------------------------------------------------
