github.com/AlDanial/cloc v 1.76  T=0.30 s (383.1 files/s, 14876.9 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Kotlin                          90            661            414           2181
Groovy                           9             79              7            428
XML                             11             20              2            221
Bourne Shell                     1             21             22            129
Markdown                         1             46              0             66
DOS Batch                        1             23              2             59
YAML                             1              5              6             35
-------------------------------------------------------------------------------
SUM:                           114            855            453           3119
-------------------------------------------------------------------------------
