github.com/AlDanial/cloc v 1.76  T=0.11 s (288.7 files/s, 26463.6 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Kotlin                          19            181            118            915
Groovy                           8            221             26            845
Markdown                         2            104              0            328
Bourne Shell                     1             21             22            129
DOS Batch                        1             23              2             59
YAML                             1              5              0             20
XML                              1              2              1              3
-------------------------------------------------------------------------------
SUM:                            33            557            169           2299
-------------------------------------------------------------------------------
