github.com/AlDanial/cloc v 1.76  T=0.69 s (493.1 files/s, 94016.2 lines/s)
--------------------------------------------------------------------------------
Language                      files          blank        comment           code
--------------------------------------------------------------------------------
Kotlin                          210           7993           2562          38169
JSON                              3              2              0          11547
XML                              61            255             70           1284
Groovy                           44            211             77           1168
Markdown                          3            124              0            333
Java                              4             40             19            178
Bourne Again Shell                1             20             21            123
Twig                              6             15              0            117
DOS Batch                         1             24              2             64
HTML                              3              0              0             15
Mustache                          2              3              0             11
--------------------------------------------------------------------------------
SUM:                            338           8687           2751          53009
--------------------------------------------------------------------------------
