github.com/AlDanial/cloc v 1.76  T=1.45 s (442.8 files/s, 38586.6 lines/s)
--------------------------------------------------------------------------------
Language                      files          blank        comment           code
--------------------------------------------------------------------------------
Kotlin                          389           5959           6266          24902
XML                             235           1501            329          12823
Java                              6            366            569           2381
Groovy                            3             53             30            206
Bourne Again Shell                1             20             21            123
Markdown                          3             41              0             92
JSON                              1              0              0             73
DOS Batch                         1             24              2             64
YAML                              1              0              0             58
ProGuard                          1             21             16             55
Bourne Shell                      2             11              0             26
--------------------------------------------------------------------------------
SUM:                            643           7996           7233          40803
--------------------------------------------------------------------------------
